검색조건
대출기간,2026-01-01 ~ 2026-07-03
성별,전체
연령,5,6학년(12~13세)
지역,전체
ISBN 부가기호,아동
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2026-07-04
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"72","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","25","9791193031902","77900","909","359",
"72","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","7","9791198948762","74810","813.7","359",
"74","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","21","9791191496208","74910","911","356",
"74","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","12","9791194330592","77400","400","356",
"76","흔한남매 이무기 :이해하면 무서운 이야기","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2023","1","9791168415577","77810","810","355",
"77","마이 가디언","이재문 글 ;무디 그림","이지북","2025","2","9791193914953","74810","813.7","354",
"78","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","4","9791164138982","77400","400","353",
"79","위풍당당 여우 꼬리","손원평 글 ;만물상 그림","창비","2021","6","9788936448844","73810","813.7","351",
"80","시간 유전자 ","김혜정 글 ;인디고 그림","라임","2024","","9791194028185","74810","813.7","350",
"81","(10대를 위한) 정의란 무엇인가 :하버드대 마이클 샌델 교수의 정의 수업 ","마이클 샌델 원저 ;조혜진 그림","미래엔","2014","","9788937886966","73300","193","349",
"82","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","24","9791193031810","77900","909","348",
"82","시간 고양이","박미연 글 ;이소연 그림","이지북","2022","6","9791193914717","74810","813.7","348",
"84","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","10","9788934905851","77400","400","347",
"84","몬스터 차일드 :이재문 장편동화 ","지은이: 이재문 ;그린이: 김지인","사계절(사계절출판사)","2021","","9791160947540","74810","813.7","347",
"84","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","26","9791193031094","74910","911","347",
"84","채사장의 지대넓얕 :지적 대화를 위한 넓고 얕은 지식","글: 채사장,그림: 정용환","Dolphin Books(돌핀북)","2021","12","9791193487068","74900","001","347",
"88","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","1","9791164136032","77400","400","345",
"88","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","3","9791164137923","77400","400","345",
"88","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","13","9791173320101","77400","400","345",
"91","온 더 볼 =On the ball","성완 글 ;돌만 그림","다산북스","2023","1","9791130698137","74810","813.7","344",
"91","햇빛초 대나무 숲의 모든 글이 삭제되었습니다 ","황지영 글 ;백두리 그림","우리학교","2024","","9791167552006","73810","813.7","344",
"93","흔한남매 이무기 :이해하면 무서운 이야기","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2023","3","9791173477263","77810","810","343",
"94","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","16","9791173479946","77490","472","341",
"94","설민석의 삼국지 대모험","원작: 나관중 ;만화: 스튜디오 담","Dankkum i(단꿈아이)","2021","21","9791193031544","77820","823.5","341",
"94","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","5","9791196893132","77900","909","341",
"97","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","11","9788934935193","77400","400","340",
"97","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","7","9788936448752","73810","813.7","340",
"99","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","2","9791164137121","77400","400","337",
"99","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","5","9791168410848","77400","400","337",
"101","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","20","9791164067183","73830","833.6","335",
"102","정재승의 인간 탐구 보고서","글: 정재은,특대호 원고: 오경은","아울북(북이십일 아울북)","2019","15","9788950969301","74400","511","334",
"102","내일은 달콤한 기분 ","글: 김혜정 ;그림: 무디","다산북스","2025","","9791130671659","73810","813.7","334",
"102","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","25","9791193031025","74910","911","334",
"102","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","4","9791196893118","77900","909","334",
"106","햇빛초 대나무 숲에 새 글이 올라왔습니다 ","황지영 글 ;백두리 그림","우리학교","2020","","9791190337427","73810","813.7","329",
"107","너구리 라면 가게 ","글: 최설희 ;그림: 김덕영","다산북스","2025","","9791130664606","77810","813.7","328",
"108","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","1","9791164131686","77810","810","327",
"108","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","20","9791173479939","77810","810","327",
"110","생일엔 마라탕","글: 류미정 ;그림: 손수정","밝은미래","2024","5","9788965467519","73810","813.7","326",
"110","수상한 놀이공원 천옥원 :전천당 번외편 ","글: 히로시마 레이코 ;옮긴이: 김정화","길벗스쿨","2023","","9791164065547","73830","833.6","326",
"110","Go go 카카오프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;정보글: 최은하","아울북(북이십일 아울북)","2018","37","9791173573903","74900","980.2","326",
"113","설민석의 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","17","9791165382940","74910","911","325",
"113","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","3","9791168415034","74810","813.5","325",
"113","전학생 ","김화요 글 ;Sujan 그림","이지북","2025","","9791193914984","74810","813.7","325",
"116","위풍당당 여우 꼬리","손원평 글 ;만물상 그림","창비","2021","1","9788936448097","74810","813.7","323",
"117","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","15","9791173476259","77490","472","322",
"118","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","23","9791193031803","77900","909","321",
"118","(설민석의) 그리스 로마 신화 대모험","글: 설민석,스튜디오 담","Dankkum i(단꿈아이)","2022","12","9791194616276","77890","219","321",
"120","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","23","9791191496642","74910","911","320",
"121","변호사 어벤저스 :어린이 법학 동화","글: 고희정 ;그림: 최미란","가나문화콘텐츠","2024","7","9791168091283","74810","360","319",
"122","온 더 볼 =On the ball","성완 글 ;돌만 그림","다산북스","2023","4","9791130655192","74810","813.7","318",
"122","채사장의 지대넓얕 :지적 대화를 위한 넓고 얕은 지식","글: 채사장,그림: 정용환","Dolphin Books(돌핀북)","2021","11","9791193487051","74900","001","318",
"124","시간 고양이","박미연 글 ;이소연 그림","이지북","2022","3","9788957073483","74810","813.7","316",
"125","벌거벗은 세계사","글: 이현희,최호정","아울북(북이십일 아울북)","2022","1","9788950900830","74900","909","315",
"125","Go go 카카오프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;정보글: 최은하","아울북(북이십일 아울북)","2018","36","9791173572128","74900","980.2","315",
"125","설민석의 삼국지 대모험","원작: 나관중 ;만화: 스튜디오 담","Dankkum i(단꿈아이)","2021","20","9791193031537","77820","823.5","315",
"128","4×4의 세계 :조우리 장편동화 ","지은이: 조우리 ;그린이: 노인경","창비","2025","","9788936443412","73810","813.7","313",
"129","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","14","9791173119262","77490","472","312",
"130","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","22","9791193031254","77900","909","311",
"131","변호사 어벤저스 :어린이 법학 동화","글: 고희정 ;그림: 최미란","가나문화콘텐츠","2024","1","9791168091221","74810","360","309",
"131","내일은 발명왕 :본격 대결 과학발명 만화","글: 곰돌이 co. ;그림: 홍종현","Mirae N 아이세움","2011","43","9791173470967","77400","507.5","309",
"131","설민석의 삼국지 대모험","원작: 나관중 ;만화: 스튜디오 담","Dankkum i(단꿈아이)","2021","17","9791193031506","77820","823.5","309",
"134","시간 고양이","박미연 글 ;이소연 그림","이지북","2022","4","9788957077627","74810","813.7","308",
"135","설민석의 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","10","9791188874293","74910","911","306",
"135","어린 변호사 ","허교범 글 ;현단 그림","위즈덤하우스","2025","","9791194770107","74800","813.7","306",
"137","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","17","9791193031117","77900","909","304",
"138","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","18","9791193031216","77900","909","303",
"138","(설민석의) 그리스 로마 신화 대모험","글: 설민석,스튜디오 담","Dankkum i(단꿈아이)","2022","11","9791194616054","77890","219","303",
"140","수상한 이웃집 시노다","도미야스 요코 글 ;송지현 옮김","다산북스","2023","1","9791130642710","74830","833.6","302",
"140","몬스터 차일드 :이재문 장편동화 ","지은이: 이재문 ;그린이: 김지인","사계절(사계절출판사)","2021","104","9791160947540","74810","813.7","302",
"140","신기한 맛 도깨비 식당","김용세,센개 그림","꿈터","2022","1","9791167390615","74810","813.7","302",
"140","의사 어벤저스 :어린이 의학 동화","글: 고희정 ;그림: 조승연","가나문화콘텐츠","2021","19","9791168090828","74510","510","302",
