검색조건
대출기간,2026-01-01 ~ 2026-07-03
성별,전체
연령,유아(6~7세)
지역,전체
ISBN 부가기호,아동
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2026-07-04
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"121","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","7","9788934944546","77400","400","411",
"121","마음버스 ","글: 김유 ;그림: 소복이","천개의바람","2022","","9791165732257","77810","813.7","411",
"123","다판다 편의점","강효미 글 ;밤코 그림","다산북스","2025","1","9791130662985","74810","813.7","408",
"123","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","3","9791190409148","74810","813.7","408",
"125","슈퍼 토끼 :유설화 그림책 ","유설화 글·그림","책읽는곰","2020","","9791158361839","77810","813.7","407",
"125","용기를 내, 비닐장갑! :유설화 그림책 ","유설화","책읽는곰","2021","","9791158362249","77810","813.7","407",
"125","거짓말이 뿡뿡, 고무장갑! :유설화 그림책 ","유설화","책읽는곰","2023","","9791158364021","77810","813.7","407",
"128","꽁꽁꽁 좀비 ","윤정주 글·그림","책읽는곰","2021","","9791158362478","77810","813.7","406",
"129","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","9","9788934946625","77400","400","402",
"129","질투는 아웃, 야구 장갑! :유설화 그림책 ","유설화","책읽는곰","2024","","9791158364595","77810","813.7","402",
"131","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","0","9788934938224","77400","400","401",
"131","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","5","9791168410848","77400","400","401",
"133","꽁꽁꽁 아이스크림 :윤정주 그림책 ","윤정주","책읽는곰","2022","","9791158363499","77810","813.7","398",
"133","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","2","9791168413955","74810","813.5","398",
"135","하트방구 :윤식이 그림책 ","윤식이 지음","소원나무","2023","","9791193207178","74810","813.7","395",
"136","샌드위치 건축가 ","유예림 지음","보림(보림출판사)","2025","","9788943317881","77810","813.7","394",
"136","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","5","9791190409384","74810","813.7","394",
"138","(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2022","1","9791168413078","77030","388","393",
"139","(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2022","2","9791168414921","77030","388","391",
"139","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","9","9791168415409","77400","400","391",
"141","완벽한 계란 후라이 주세요 ","보람 글·그림","길벗어린이","2023","","9788955827071","74810","813.7","389",
